reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.01,20.293691142661984
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.025,33.8838141706034
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.05,45.194893849812175
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.1,48.61972460878438
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.15,52.17578153969885
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.2,56.31174260605967
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.25,59.97311009289765
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.3,63.164957935375824
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.35,65.85230565387047
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.4,69.43442415887347
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.45,72.28175065820142
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.5,74.29855020655005
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.55,76.36568694293152
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.6,79.61619572949225
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.65,82.06849208498426
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.7,84.77324341563705
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.75,87.7265346430776
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.8,90.04839546678807
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.85,92.81212098911371
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.9,94.22097382406199
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.95,99.6719010190767
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.975,106.50578779241376
2024-03-23,01,0,wk inc flu hosp,2024-03-23,quantile,0.99,115.6632611774455
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.01,14.63688312585146
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.025,26.96156217286807
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.05,38.69304896107525
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.1,43.5124362442356
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.15,47.384560929358024
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.2,51.17164238747606
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.25,54.13318070276484
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.3,56.96031985501705
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.35,60.08833738855776
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.4,63.68242363730957
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.45,67.47474738107852
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.5,69.46640664687594
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.55,72.01491154554714
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.6,75.90143770904817
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.65,79.14184280059095
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.7,82.06859142579734
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.75,84.68863088494247
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.8,88.19119855436779
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.85,90.92623807754028
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.9,93.57983581392847
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.95,100.00917410005127
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.975,106.95904989066206
2024-03-23,01,1,wk inc flu hosp,2024-03-30,quantile,0.99,117.80758036497011
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.01,7.612814303231416
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.025,19.554969272406392
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.05,32.73177224808366
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.1,40.53864109231348
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.15,45.481970671546705
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.2,47.62715765054039
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.25,50.43555051316466
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.3,52.17685434566033
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.35,54.67784203103314
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.4,57.883906150914825
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.45,61.07129841984093
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.5,63.41252241702334
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.55,66.3028556959066
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.6,70.86381317573296
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.65,73.58942367271112
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.7,77.13421590040602
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.75,80.12019998153923
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.8,83.84090092205089
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.85,86.90797174417582
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.9,91.77189550229365
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.95,99.95546444424652
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.975,108.08900806134298
2024-03-23,01,2,wk inc flu hosp,2024-04-06,quantile,0.99,119.39702660860695
