reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.01,142.11447729502157
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.025,183.6730743129101
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.05,196.88836707071368
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.1,209.2888434202162
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.15,235.85679097590105
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.2,251.25051187981023
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.25,260.69907309781547
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.3,276.74130816618344
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.35,287.73233580216
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.4,300.05481352038055
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.45,310.3353602453874
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.5,319.93108307094
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.55,330.0203670415448
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.6,347.4594253427607
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.65,359.9376661740626
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.7,370.834350003282
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.75,379.6039372464272
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.8,387.4957201570629
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.85,399.80833516256195
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.9,422.0813872083178
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.95,439.1180688582598
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.975,455.91910991358134
2023-12-30,01,0,wk inc flu hosp,2023-12-30,quantile,0.99,491.41788554746665
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.01,126.48581058754434
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.025,163.41227529722698
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.05,186.0003520355561
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.1,200.05640659009447
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.15,231.24470919341204
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.2,250.65995950263525
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.25,265.8349880967943
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.3,284.31184566741996
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.35,297.71810380309137
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.4,311.88015808937945
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.45,325.51778125441524
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.5,338.97192448699263
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.55,351.4617462206404
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.6,375.17923547724104
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.65,395.2681847895178
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.7,414.9425405067582
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.75,436.7912309463055
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.8,452.4421734606941
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.85,473.88081273795126
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.9,521.7863654339353
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.95,542.4353215225422
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.975,583.9568111676431
2023-12-30,01,1,wk inc flu hosp,2024-01-06,quantile,0.99,633.2797208300515
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.01,101.16686063745213
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.025,145.14645333879776
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.05,167.60287280281585
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.1,187.54483746975836
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.15,221.49458308192067
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.2,242.39924018700066
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.25,261.6365436647434
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.3,279.2576141609701
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.35,298.2498921680329
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.4,312.35999917820254
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.45,327.2696810142021
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.5,345.5398915727686
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.55,359.69090992466766
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.6,388.4553081499455
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.65,406.9912706096769
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.7,425.9230076686192
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.75,442.59156726299966
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.8,463.0422916570942
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.85,498.8641795085915
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.9,549.1067298471587
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.95,618.9180131902542
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.975,681.0538414451207
2023-12-30,01,2,wk inc flu hosp,2024-01-13,quantile,0.99,796.2392399251314
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.01,88.74682274974725
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.025,129.1162355109584
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.05,144.8940619380037
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.1,173.91262547651337
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.15,204.66644528339162
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.2,225.1988822689758
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.25,245.53879959440638
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.3,266.81062160947613
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.35,286.5001194331438
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.4,300.9622605762088
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.45,320.3947234340023
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.5,335.6580727416343
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.55,349.69740408346775
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.6,381.03301996677965
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.65,400.409408949967
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.7,413.9380209982626
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.75,441.62672251416814
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.8,465.52422247248455
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.85,505.390950520213
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.9,568.5825672982681
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.95,657.0559895590952
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.975,749.214791518629
2023-12-30,01,3,wk inc flu hosp,2024-01-20,quantile,0.99,879.9435334758191
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.01,0
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.025,0
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.05,0
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.1,0.024176124134521772
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.15,0.19304460286563555
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.2,0.30676449358090685
2023-12-30,02,0,wk inc flu hosp,2023-12-30,quantile,0.25,0.4795507983146348
