location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,57.10593493321353
02,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,0.0
04,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,54.644866533970024
05,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,146.2921591623129
06,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,98.95573357598828
08,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,74.85651937452779
09,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,67.05492273905062
10,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,17.843492126008837
11,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,9.005954123076517
12,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,392.21793974201637
13,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,111.69614288778433
15,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,0.0
16,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,29.949541359649782
17,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,147.62055575050013
18,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,227.1577845138752
19,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,62.933542554425216
20,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,69.73385916782459
21,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,164.38905599934017
22,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,34.90677816466451
23,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,32.59894614312468
24,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,57.15034238034619
25,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,293.0195019305223
26,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,357.99069631849864
27,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,96.15743847488535
28,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,26.05789023293964
29,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,184.37672929366468
30,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,6.008943274004521
31,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,26.39422749004643
32,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,16.239921450611902
33,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,14.415432992721664
34,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,220.73784913891663
35,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,32.526571919201366
36,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,464.8131370998624
37,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,83.017435317977
38,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,11.62403455154551
39,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,361.0333872933203
40,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,163.13033775319897
41,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,29.481615578526252
42,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,284.88670844323224
44,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,11.556966376273923
45,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,69.46912441981296
46,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,10.031694705330834
47,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,101.69662747238833
48,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,464.8758654894886
49,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,4.063083725219217
50,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,7.373303963956978
51,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,108.60321424162639
53,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,23.2743323381546
54,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,99.1736545803394
55,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,104.3345732078119
56,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,17.439624426655012
72,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,21.648388147627827
US,2024-02-24,-1,2024-02-24,wk inc flu hosp,quantile,0.01,6879.384149637574
01,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,43.08386933693275
02,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,0.0
04,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,32.95452416028314
05,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,116.47390086013509
06,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,51.1247677144175
08,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,59.32285283314803
09,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,55.32560009119238
10,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,15.30348006142572
11,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,7.302121942015578
12,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,322.5285306119111
13,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,89.37045908374701
15,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,0.0
16,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,23.919517221703963
17,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,120.07369771855433
18,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,192.7389210371639
19,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,51.03804340619612
20,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,56.54564508268401
21,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,137.02313047202946
22,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,26.043780327282633
23,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,26.70279495951279
24,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,42.98979841634375
25,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,249.19830982983433
26,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,307.1178408073019
27,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,79.07040787132905
28,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,19.32309344320916
29,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,154.08340777382475
30,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,3.11355292376259
31,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,21.094072207246576
32,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,10.388074787943939
33,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,11.161359303010729
34,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,184.91215346309616
35,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,26.177331580179487
36,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,383.2490908266081
37,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,62.76487172396202
38,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,9.081483891941563
39,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,306.94407294250624
40,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,131.1725432405693
41,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,21.453308321628935
42,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,238.04871550024114
44,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,9.227214405486222
45,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,57.70568985860263
46,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,7.8278758900486105
47,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,79.05151274533952
48,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,364.37421925303914
49,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,1.8692269064752138
50,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,4.9869316665180765
51,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,91.34568181970582
53,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,15.1044870193951
54,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,87.33700480981855
55,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,88.79117060505097
56,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,14.446811056627789
72,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,14.983143244635432
US,2024-02-24,0,2024-03-02,wk inc flu hosp,quantile,0.01,5705.433823339062
01,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,27.55807146750442
02,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,0.0
04,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,9.85273915610253
05,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,87.16951466585112
06,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,6.382727212287263
08,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,42.76052349591218
09,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,41.92111278945677
10,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,11.87087797402087
11,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,5.381157148547975
12,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,240.4504997553231
13,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,60.573143739326476
15,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,0.0
16,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,17.883531537639353
17,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,86.93939133882346
18,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,149.66053323535638
19,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,39.462561491672105
20,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,42.31491670091818
21,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,109.82400437702704
22,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,15.929004099060872
23,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,20.390627607139752
24,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,26.856805064162085
25,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,205.0585675423578
26,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,241.87201212257568
27,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,61.28913585207255
28,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,12.071610222478773
29,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,118.8085016416572
30,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,0.0
31,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,15.413471943972981
32,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,4.036281720870166
33,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,7.848530388053084
34,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,144.52294055756644
35,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,17.7255104060166
36,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,305.5347604829002
37,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,39.458366413192365
38,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,4.931751515458675
39,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,247.04350380327622
40,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,87.64609952772258
41,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,11.670832147199603
42,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,179.64026790275383
44,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,5.7677953130257285
45,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,41.75209768839377
46,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,5.5080701893179524
47,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,54.57783892493507
48,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,242.5028001383146
49,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,0.0
50,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,2.7062244909601785
51,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,67.14043477161866
53,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,3.107850220930243
54,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,72.0445945791621
55,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,64.95459596425435
56,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,10.886973374164048
72,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,8.641781600541059
US,2024-02-24,1,2024-03-09,wk inc flu hosp,quantile,0.01,4413.778652893296
01,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,17.521127946909758
02,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.0
04,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.0
05,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,69.55485117374333
06,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.0
08,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,33.26699398514758
09,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,31.809022866076806
10,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,9.596459797689594
11,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,3.8716060841263715
12,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,189.6980163923493
13,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,42.01092532784228
15,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.0
16,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,12.750929237323634
17,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,66.75349291979116
18,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,121.78889662689708
19,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,30.331998932779577
20,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,31.734808990247423
21,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,91.04950443378719
22,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,9.919946096656796
23,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,14.96164645430427
24,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,16.713481208065488
25,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,166.75457192592955
26,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,198.23358085444525
27,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,48.22646995720853
28,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,6.428010034421084
29,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,93.3165466786085
30,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.0
31,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,11.39846829391362
32,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,0.042175754376966315
33,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,4.833504367183251
34,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,116.25459060743552
35,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,12.386994004094682
36,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,245.58990188519823
37,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,23.854776027857383
38,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,2.6604077014965997
39,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,204.22526623632285
40,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,54.3187411229808
41,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,5.972261351476933
42,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,139.6948561207743
44,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,3.8190466663768055
45,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,31.767617489549853
46,2024-02-24,2,2024-03-16,wk inc flu hosp,quantile,0.01,3.914747375217727
